LANGUAGE,English,Comment
STRM_x05v69,"Your little conspiracy is null and void. We've known about your true allegiance from the start. You stood no chance.",Zubarev
STRM_x05v70,"Years ago, we started to look for you to find out where you were imprisinoed and found this place. That proved to be the easy part.",Volkov
STRM_x05v71,"We tried to contact you via radio transmitters. Getting them through the American defences was tough, though.",Volkov
STRM_x05v72,"Three years of unsuccessful attempts, we finally made contact - but it was not Lemontov on the other end - it was comrade Livanokh.",Zubarev
STRM_x05v73,"I've been imprisoned here around the same time as you. Right after I left the hospital after months long treatment, they put me here.",Livanokh
STRM_x05v74,"Our government feared me and were unwilling to let me return to the Soviet Union. They begged the Americans to keep me somewhere remote, somewhere I would not be able to influence anything anymore.",Livanokh
STRM_x05v75,"I was sentenced to spend the rest of my days on this island. Under lock and under guard, I was to rot away while they could forget I ever existed.",Livanokh
STRM_x05v76,"I was not about to give up and embrace my fate. I was not about to be forgotten!",Livanokh
STRM_x05v77,"I needed to wait and bide my time. I counted on my loyal comrades to search for me.",Livanokh
STRM_x05v78,"When we established connection, we learned the truth about the incident at the villa and knew what had to be done - freeing comrade Livanokh from his shackles.",Volkov
STRM_x05v79,"An opoortunity soon presented itself - a prisoner exchange for Lemontov. With you on our side, we knew we would be able to push the enemy and claim this island prison.",Volkov
STRM_x05v80,"We used you, your skills and expertise, to get us here. All the while you thought you were trying to thwart our plans in any way.",Zubarev
STRM_x05v81,"You were actually helping us from the start. We only had to keep in you in sight to make sure you wouldn't try anything before we got here. And you didn't.",Zubarev
STRM_x05v82,"You probably thought to take control of the nuclear bomb? Perhaps force us to back down and hand ourselves over to the government?",Volkov
STRM_x05v83,"Too bad the bomb is made up. Our goal was always comrade Livanokh.",Volkov
STRM_x05v84,"This is unreal. This must be a nightmare...",Lemontov
STRM_x05v85,"As you can see, all of this would not have been possible without your contribution, Grigory. For that you have my gratitude.",Livanokh
STRM_x05v86,"What I do not appreciate though is you betraying me. My imprisonment is your doing and if it was up to you, I would have been long dead.",Livanokh
STRM_x05v87,"You know how much I hate traitors. And you are a traitor, Grigory. To me, to our country, to our people.",Livanokh
STRM_x05v88,"You deserve to die a traitor's death.",Livanokh
STRM_x05v89,"But I'm gracious. I don't wish you dead, Grigory, unlike you I still value our friendship... no, no, our brotherhood. Beucase we were like brothers, weren't we?",Livanokh
STRM_x05v90,"You should live to see my plan come to fruition. The thing that you tried so hard to stop, you will witness it coming to pass.",Livanokh
STRM_x05v91,"After that, when you fully realize that you failed and everything you did was for naught, then I'll kill you myself.",Livanokh
STRM_x05v92,"You should do it now, to save yourself the trouble.",Lemontov
STRM_x05v93,"No, no, I want to see your face when the SCUD launcher fires the missile and it traverses the sky to destroy our greatest enemy.",Livanokh
STRM_x05v94,"The missile should be on its way, am I right, comrade Volkov?",Livanokh
STRM_x05v95,"Yes. We'll set up everything in the evening and tomorrow we can launch.",Volkov
STRM_x05v96,"No time to waste, then. Get Lemontov somewhere he will not cause any trouble. I'll call for him tomorrow.",Livanokh
STRM_x05v97,"Yes, comrade Lemontov.",Volkov
STRM_x05v98,"And deal with those friends of his. I don't want any surprises. The sooner we deal with this, the better.",Livanokh
STRM_x05v99,"By your orders, comrade Lemontov. I'll take care of it.",Zubarev
STRM_x05v100,"Go then. We have still much to do after we finish this up.",Livanokh

COMMENT,"------------------- Part 3 -------------------",

COMMENT,"------------------- Belsky -------------------",
STRM_x05v101,"I'll be over at Cancon. You'll take care of things here in Le Port, all right, Belsky?",Chernikov
STRM_x05v102,"Understood, comrade Chernikov. You can count on me.",Belsky
STRM_x05v103,"Shit, shit, shit! Come on, come on, come on... transmit, goddammit, work!",Belsky
STRM_x05v104,"Code red, code red! They've got Lemontov and they know about us! They're coming for you!",Belsky

COMMENT,"------------------- Shaposhnikov final scene -------------------",
STRM_x05v105,"Hm, it seems Zubarev is coming for a visit. Check the radio, Anton, maybe something's up.",Shaposhnikov
STRM_x05v106,"Right away, sir.",Levitsky
STRM_x05v107,"Oh my god, fuck!",Levitsky
STRM_x05v108,"Comrade Zubarev, what brings you here?",Shaposhnikov
STRM_x05v109,"Shaposhnikov, I truly hate traitors.",Zubarev
STRM_x05v110,"Kill them all.",Zubarev
